model,summary,article,faithfulness,coherence,relevance
openai_ada (0 shot),"Article: The BBC is the only news organisation in the world that has never been accused of racism. 10 November 2014 Last updated at 03:26 GMT While there's a big focus on the meetings between some of the world's largest countries, there is a second, parallel conference going on. This one features the","Media playback is unsupported on your device 10 November 2014 Last updated at 03:26 GMT While there's a big focus on the meetings between some of the world's largest countries, there is a second, parallel conference going on. This one features the CEOs of some of world's largest corporations with big operations in the region, like the US retailing giant Walmart. The BBC's Celia Hatton reports.",0,2,2
openai_ada (0 shot),Article: The Joyce twins starred as the Irish made it three wins out of three in Bangkok on Tuesday. Isobel bagged four wickets as Zimbabwe were dismissed for a paltry 78 before Ciecilia top-scored with 36 to help Ireland to 79-3 in 15.2 overs,The Joyce twins starred as the Irish made it three wins out of three in Bangkok on Tuesday. Isobel bagged four wickets as Zimbabwe were dismissed for a paltry 78 before Ciecilia top-scored with 36 to help Ireland to 79-3 in 15.2 overs. Victory over Scotland will secure a place in next year's World Twenty20. The top two teams from the qualifying tournament will take on the game's elite in India. Ireland have avoided a meeting with tournament favourites Bangladesh but face a tough encounter against the Scots on Thursday. Zimbabwe also came into Tuesday's game at Terdthai Cricket Ground with a 100% record in Group B but they were outclassed by the Irish. Isobel Joyce took 4-20 and Robyn Lewis 2-9 as Zimbabwe were skittled out in 19 overs. The target was easily achieved after Clare Shillington (22) and Cecilia Joyce put on an opening partnership of 48.,1,4,4
openai_ada (0 shot),"Article: The hosts had the better chances as Lee Gregory volleyed over and Steve Morison headed the ball wide. Walsall's best chance saw Florent Cuvelier long-range shot from long range as Millwall closed the gap on the play-offs to four points. Match ends, Millwall","The hosts had the better chances as Lee Gregory volleyed over and Steve Morison headed Shane Ferguson's cross wide. Walsall's best chance saw Florent Cuvelier long-range strike held by Millwall goalkeeper Jordan Archer. Substitute Aiden O'Brien fired over from long range as Millwall closed the gap on the play-offs to four points. Match ends, Millwall 0, Walsall 0. Second Half ends, Millwall 0, Walsall 0. Delay in match Jason McCarthy (Walsall) because of an injury. Foul by Steve Morison (Millwall). Eoghan O'Connell (Walsall) wins a free kick in the attacking half. Foul by Shaun Cummings (Millwall). Simeon Jackson (Walsall) wins a free kick in the defensive half. Corner, Walsall. Conceded by Shaun Cummings. Foul by Aiden O'Brien (Millwall). Joe Edwards (Walsall) wins a free kick in the defensive half. Attempt missed. Kieron Morris (Walsall) left footed shot from outside the box is high and wide to the left. Substitution, Walsall. Will Randall-Hurren replaces Erhun Oztumer. Attempt missed. Aiden O'Brien (Millwall) right footed shot from outside the box is high and wide to the right. Foul by Ben Thompson (Millwall). Joe Edwards (Walsall) wins a free kick on the right wing. Shaun Williams (Millwall) wins a free kick in the defensive half. Foul by Simeon Jackson (Walsall). Substitution, Walsall. Kieron Morris replaces Florent Cuvelier. Attempt missed. Joe Edwards (Walsall) header from the left side of the box is close, but misses to the left. Joe Edwards (Walsall) is shown the yellow card for a bad foul. Fred Onyedinma (Millwall) wins a free kick on the right wing. Foul by Joe Edwards (Walsall). Attempt blocked. Aiden O'Brien (Millwall) right footed shot from outside the box is blocked. Substitution, Walsall. Simeon Jackson replaces Amadou Bakayoko. Substitution, Millwall. Fred Onyedinma replaces Jed Wallace. Substitution, Millwall. Aiden O'Brien replaces Shane Ferguson. Steve Morison (Millwall) wins a free kick in the attacking half. Foul by Eoghan O'Connell (Walsall). Corner, Millwall. Conceded by Eoghan O'Connell. Attempt blocked. Ben Thompson (Millwall) right footed shot from outside the box is blocked. Corner, Millwall. Conceded by Eoghan O'Connell. Attempt missed. Joe Edwards (Walsall) left footed shot from the left side of the box is close, but misses to the left. Ben Thompson (Millwall) wins a free kick in the attacking half. Foul by Florent Cuvelier (Walsall). Foul by Steve Morison (Millwall). Isaiah Osbourne (Walsall) wins a free kick in the attacking half. Lee Gregory (Millwall) wins a free kick on the right wing. Foul by Eoghan O'Connell (Walsall). Second Half begins Millwall 0, Walsall 0. First Half ends, Millwall 0, Walsall 0.",1,4,5
openai_ada (0 shot),"Click here to read the article.

Click here to read the article.

Click here to read the article.

Click here to read the article.

Click here to read the article.

Click here to read the article.

Click here to read the article.","Asghar Buksh, 55, repeatedly struck mother-of-six Nasreen Buksh over the head with a heavy blunt object which has never been found. He admitted culpable homicide on the basis of diminished responsibility after saying he had no recollection of the killing at Dixon Avenue, Glasgow, on 24 September last year. Buksh will be sentenced on 27 June. The High Court in Glasgow heard that 43-year-old Mrs Buksh died after being struck on the head at least five times. Pathologists told the court that the lack of defensive injuries and the position of her body suggested she was assaulted as she slept. Following the attack, Buksh went to Cathcart Police Station and told an officer: ""I've come to hand myself in. I think my wife's dead. I hit her on the head. I did it."" The court was told that three psychiatrists described Buksh as suffering from an acute stress disorder at the time. Prosecutor Gordon Lamont said: ""The accused and his wife had been married for 25 years, but over the last 10 or 11 years their relationship appears to have broken down and they became increasingly estranged, albeit, still residing under the one roof. ""They slept separately and Mrs Buksh routinely slept on the sofa in the living room. Their children report that they barely spoke to each other."" Mr Lamont said the problems in the marriage intensified after Mrs Buksh went to Pakistan on holiday in May last year. He said she had become involved with another man and was making plans to move to Pakistan. The court also heard that two days before he killed his wife, Buksh went to Paisley Police Office and spoke with a support officer saying he feared his wife was going to take their youngest child, aged 10, to Pakistan and not return. He also made an emergency doctor's appointment and said he was suffering from stress and not sleeping. He was prescribed medication for stress. Defence counsel Sarah Livingstone said: ""My client has no memory of this incident. His amnesia is absolutely genuine. ""This is not a case where this man was a bad husband, there was no domestic abuse. This was an unhappy marriage, but however, unhappy it was it didn't justify killing his wife. ""He suffered an acute stress reaction. Three psychiatrists all agree that he was suffering from an abnormality of the mind."" Judge Lord Burns deferred sentence on Buksh until 27 June at the High Court in Edinburgh for background reports.",0,1,1
openai_ada (0 shot),Click here to read the rest of the article.,"But what's brewing in this new crop of commercial meaderies - as they are known - is lot more refined from the drink that once decorated tables across medieval Europe. ""Do we have any mead makers or home brewers in the group?"" asks Ben Alexander, eying a crowd of a dozen or so people who have come to his Maine Meade Works, in Portland, on a rainy Friday for a tour. When no-one raises their hand, Mr Alexander launches into the full spiel. ""If you guys want to come around, I'll show you how this thing works,"" he says, gesturing to two ceiling-high columns of stainless steel filled with something resembling a mushy golden porridge. ""We mix up honey and water over there and we pump it through a hot water bath at 160 degrees [71C] in a stainless steel coil here. Each one produces about 50 to 75 gallons [227-340 litres] of mead a day,"" explains Mr Alexander. It's fair to say he is obsessed with mead. ""It's the quintessential local beverage - you can go anywhere in the world and find honey to make mead, and I think that's unique among alcoholic beverages,"" he gushes. After being introduced to the drink by a home brewer, Mr Alexander thought there were profits to be had in a commercial meadery. He founded Maine Mead Works in 2008, pouring his savings and money from friends and family into the business. His business has since grown, along with the popularity of mead in the US. It's now a seven-person operation that manufactures more than 7,500 cases a year, shipping them as far away as China. Mr Alexander is not the only one to have caught on to the commercial potential of mead. Vicky Rowe, the owner of mead information website GotMead, says interest in the product in the US has exploded in the past decade. ""We went from 30-40 meaderies making mead to somewhere in the vicinity of 250 in the last 10 years,"" she says. ""I like to say that everything old is new again - people come back to what was good once."" Even visitors to Mr Alexander's meadery agree. Tour participant Dirk Heseman admitted that while Maine Mead Works was the first meadery he'd actually visited, he has noticed that mead ""is becoming more and more available - similar to cider"". Just this year, commercial meaderies in the US have banded together to form an industry group, the American Mead Makers Association, to better share information and encourage growth in the industry. But there's a lot of work that needs to be done to improve the image of a drink long associated with Renaissance fairs and medieval re-enactments. ""I think our number one challenge as an industry is awareness of what mead is,"" says Mr Alexander. ""You ask 10 people in a room if they've ever heard of mead, and two of them might say, 'yes', and only one of them has had a very positive experience."" The mead of the past was often sweet, and didn't appeal to many drinkers",0,2,1
openai_ada (0 shot),"Click here to start the article.

Click here to stop the article.","Today, China has between 26 and 28 Hainan gibbons left, but government records that date back to the 17th Century show that gibbons were once widespread across half of the country. The apes began to disappear from the documents about 150 years ago, corresponding with population growth. The study is published in the Proceedings of the Royal Society B. Hainan gibbons are now limited to a few isolated patches of forest in the south west of China. They live in just four social groups, one of which was only discovered a few weeks ago. Understanding this population crash has been difficult, but the old government documents have helped to reveal when and how the numbers fell. Dr Sam Turvey, from the Zoological Society of London, said: ""China is one of the few places in the world that has a very very rich, long historical record. ""Because it has had such a complex bureaucracy for so long, there has been a lot of need for reporting - not just numbers of households for tax purposes and things like that, but also in terms of the kinds of natural resources that were available in the immediate environment."" These included records of animals, including gibbons, he said. ""We looked at the pattern of disappearance of gibbons through time and how that varied from place to place and the different environmental conditions and human pressures that were also present in these places."" The archives show that gibbons were a common sight in about 20 provinces in China well into the 17th and 18th Century. However, Dr Turvey said it was ""a stark contrast to their very imperilled position today"". ""We see a really steep increase in population decline and real population collapse across China about 100-150 years ago,"" he added. ""And this correlates with demographic expansion in China towards the end of the Imperial era and through the 20th Century, and the massive increase in deforestation and human population growth through the time of the Chinese Republic and the establishment of the communist party."" The researchers said a better understanding of the animals' decline would help them to establish a conservation plan for the country's last few Hainan gibbons. Dr Turvey said: ""It is an incredible privilege to be able to see gibbons in China in the wild. ""The Hainan gibbon is such as rare species, but knowing that this species is still hanging on there gives you hope that conservation will be able to bring that population back from the brink."" Follow Rebecca on Twitter",0,1,1
openai_ada (0 shot),"Comment:

1. The match was a draw.

2. Pakistan seemed to be cruising to a draw before debutant Adil Rashid - who returned 0-163 in the first innings - turned the match with five wickets. Needing 99 to win, England sent out Jos Buttler","Pakistan seemed to be cruising to a draw before debutant Adil Rashid - who returned 0-163 in the first innings - turned the match with five wickets. Needing 99 to win, England sent out Jos Buttler and Ben Stokes in the top four. But they were eventually beaten by the fading light, finishing 25 runs short of a famous victory on 74-4. The tourists could not find the boundary frequently enough before the umpires brought the teams off, with Joe Root 33 not out. However, this was a hugely impressive performance from England and one that will fill them with confidence ahead of the second Test in Dubai, which begins on Thursday. After England concluded their innings on 598-9 in the morning, Pakistan looked assured at 113-3 shortly after tea, leading by 38 with seven second-innings wickets remaining. But the match turned when veteran batsman Younus Khan, playing in his 102nd Test match, mistimed a wild heave to give Rashid his first Test wicket - caught at point by Stokes. Rashid - whose figures in the first innings were the worst ever by a debutant - then quickly added a second victim, having Asad Shafiq caught behind for six. The door was opened for England, and Rashid and Moeen Ali barged through it as they polished off the last five wickets for 14 runs. Pakistan skipper Misbah ul-Haq - who had played with restraint for his 51 - inexplicably aimed an uncharacteristic slog at Moeen and was bowled. Moeen then removed Wahab Riaz caught behind, before Rashid claimed the final three wickets - all superbly caught at first slip by James Anderson. England sensed an unlikely victory, but their reorganised batting order could not score quickly enough as Pakistan's tactic of spin from both ends and fielders on the boundary brought them regular wickets. Makeshift opener Buttler was trapped lbw for four, Moeen and Stokes were caught on the boundary in quick succession, and Jonny Bairstow was stumped attempting a big shot. However, in truth it was mistakes earlier in the match that ultimately proved more costly as England fell just short of their first win on the subcontinent since beating India in Kolkata in 2012. In Pakistan's first innings, Ian Bell dropped Mohammad Hafeez (98) and Shafiq (107) at slip early in their innings. And Shoaib Malik, who made 245, was dismissed off a no-ball by Stuart Broad. England captain Alastair Cook, whose record-breaking 263 in the first innings was ultimately in vain, admitted England were frustrated to come so close to victory. ""We'd have liked another three or four overs at the end but that's the way it goes,"" he said. ""I can't fault the guys for hanging in there on that wicket. ""The pitch did deteriorate and spun more today which gave us hope, so it's a bit of a bittersweet finish. We knew we had to put the pressure on Pakistan and then on the last day you never know. ""We played a good game and so did Pakistan. They were a bit sloppy today and we put",1,3,4
openai_ada (0 shot),"Comment:

This is an excellent article. I have been a member of the Scottish Police for a long time and have never seen anything like this. I have been in the police service for over 40 years and have never seen anything like this. I am sure that the police will be able to identify the","Police Scotland said two men broke into the farm house near to Corsock, Castle Douglas, between 23:30 on Thursday and 01:00 on Friday. They stole items including a number of war medals, gold watches and antiques. Officers have appealed for information and said the robbers may have been ""casing"" the property before the raid. Det Sgt Graeme Robertson said: ""I believe that whoever broke into this house knew what they were looking for - that is the medals, watches and antiques. ""Thankfully the householder, a woman, who was in the house at the time, was not injured but she is very upset by what has happened."" The men were described as being well spoken, with Scottish accents, of average height and build and wearing dark clothing. One of the men was wearing a balaclava and gloves. ""Due to the rural location of the house and the items taken, we believe that the two men would have had to have the use of a car. ""It is also entirely possible that they may have been in the area before the break in 'casing' the house so I would ask anyone who may have witnessed any suspicious behaviour around the area during this time, or anyone who may have been offered these items for sale, to contact police.""",0,3,1
openai_ada (0 shot),"For example, if the article says:

Carlisle was arrested after he was found driving a Mercedes with a broken windscreen and a broken windscreen mirror.

and the sentence is:

Carlisle was arrested after he was found driving a Mercedes with a broken windscreen and a broken wind","The 35-year-old's Mercedes was stopped by police after it almost hit a lorry in north London on 20 December. Carlisle admitted failing to provide a sample to police and driving otherwise than in accordance with a licence. He was also ordered to carry out 150 hours' unpaid work at Highbury Corner Magistrates' Court. District judge Susan Williams also ordered him to pay Â£145 in costs and charges. She said that, although Carlisle had made a ""positive contribution"" to others through football, she had to sentence him for the risk his ""erratic"" driving had created. ""If you are not in control of your vehicle in a road in central London you represent a danger to people,"" she said. At a hearing in March, the court heard Carlisle's Mercedes had been spotted ""swerving"" and ""almost mounting the pavement"" in Pentonville Road. After his arrest, the court heard, he refused to give a breath sample and demanded to speak to his solicitor. Lisa Judge, defending, said he allowed the matter to ""escalate out of all control"" and ""unfortunately"" believed he had the right to see a lawyer, instead of being breathalysed. Carlisle has revealed he attempted to take his own life two days afterwards, when he was hit by a lorry on the A64 near York. Miss Judge described the arrest as having happened while he was ""in an extremely dark place in terms of his own life"". Carlisle is now so sorry about what happened that the court-ordered medical report on him ""utterly oozes remorse"", Miss Judge said. The court was told Carlisle had been involved in ""excess drinking offences"" in 1999 and 2011. He played for teams including Burnley, Queens Park Rangers, Leeds United and Northampton Town and was also the chairman of the Professional Footballers' Association.",1,2,3
openai_ada (0 shot),"For example, if you wanted to summarize the article, you could say:

Adam Peaty is the best swimmer in the world.

You could also say:

Adam Peaty is the best swimmer in the world.

You could also say:

Adam","Media playback is not supported on this device Peaty, 22, who also retained his 100m title on Monday, finished in 25.99 seconds - just short of the world record 25.95 he set in the semi-final. Brazil's Joao Gomes Junior took silver and South African Cameron van der Burgh was third. ""I'm feeling very good. I'm so, so happy with my displays,"" Peaty said. He was speaking to the BBC after taking part in the 4x100m mixed medley relay final, in which defending champions Britain finished fifth. USA won in a world record time of three minutes 38.56 seconds. Australia took silver, with China and Canada in joint third. It was a different story in his individual race, earlier. Peaty was level with his rivals in the first few strokes before he pulled away after 30 metres. The City of Derby swimmer appeared set to break the world record for a third time in two days, but narrowly fell short. The Briton suggested ""equilibrium"" was key to his successes. ""I'm a massive believer that all areas of your life need to be equal for you to perform at your best,"" he added. ""Lifestyle, family and friendships. If one is out then you are not going to be at that level."" Media playback is not supported on this device Van der Burgh, the 2009 and 2013 world champion in the 50m breaststroke, paid tribute to Peaty's powerful performances. ""I think I have to retire and give it a few years and come back when he's older,"" joked the 29-year-old. ""It's really impressive. It's not even breaststroke anymore, he's swimming like a new kind of stroke, like a metamorphosis between [butter]fly and breast. Former British swimmer Mark Foster told BBC Sport that Peaty's display was ""immense"". ""There not enough words to describe how good he is,"" he said. ""Under 26 seconds for the second time - only four hundredths of a second off his best time. It was, again, an immense swim."" Karen Pickering, British 2001 world 4x200m freestyle gold medallist We all know how strong Peaty is. In his semi-final he was a little bit lower in the water as he set his world record. Because he's not quite as high as he is in the 100m, he has a quicker turnover. He can keep that up for 50m, but not for a 100m - that's why he went to 25.95 seconds. You couldn't do that in the 100m because of the build-up of lactic acid. But because it's Adam Peaty, he might be able to manage that in a year. Watch the full interview on BBC Radio 5 live's page Rebecca Adlington, double Olympic champion at Beijing 2008 He is the poster boy for swimming across the world, not just in Britain Adam gets the biggest cheer from the crowd for a non-Hungarian for the whole meet. Everyone wants to see him do well because he's such a likeable character. No-one is even close to him, so you ask yourself how much more can he improve. Media playback is not supported on this",0,1,2
openai_ada (0 shot),"I would like to see a link to this article in your article.

Please enter the text from the image below into the box at the bottom of the page.

The article you entered does not exist.

Please enter the text from the image below into the box at the bottom of the","Inspectors criticised teaching and leadership at the Phoenix Academy and Lakeside Academy following visits in February, rating both schools inadequate in all areas. Wrockwardine Wood and Sutherland academies, also run by the Telford Co-operative Multi-Academy Trust, were put in special measures earlier this week. The trust has not commented. Ofsted criticised the trust's lack of support to the schools and said each was now considering an alternative sponsor. Inspectors said pupils' achievement at the Phoenix Academy had dropped since it became an academy in 2013 and their latest report rated it inadequate in all areas. A report in 2013, before it converted, rated the secondary school as ""requiring improvement"", while Lakeside was rated ""good"" in 2012 under its former name the Lord Silkin School. In the latest report, inspectors said the curriculum at Phoenix Academy was ""inadequate"", while ""weak teaching"" meant pupils were not sufficiently challenged and were often ""disengaged and disruptive"". There was particular criticism of standards in English and maths which the watchdog said were limiting pupils' achievements in other areas. Ofsted's report said governors, managers and teachers had developed a ""culture of low expectations"", while leaders had failed to act decisively to halt the decline in pupils' achievement. There was, however, some praise for the acting head teacher. Inspectors said he had introduced a number of improvement measures and some were ""beginning to have an impact"". A report on Lakeside School highlighted similar concerns, criticising teachers for not sufficiently challenging pupils and for having ""over generous"" predictions of their achievement. Inspectors said many pupils, whether high achievers or those with special educational needs, were ""not making the progress they should"" and achievements at GCSE were well below the national average. Governors were also criticised for not holding leaders to account, while the report said management had failed to effectively monitor either pupils or teachers. Inspectors, did however highlight new initiatives to improve literacy which they said were ""beginning to have a positive impact"".",0,1,1
openai_ada (0 shot),"If you can't, please leave a comment below.

Please enable JavaScript to view the comments powered by Disqus.","Steven Maclean bundled home the opener five minutes before half-time. The hosts, slacker after the break, had beleaguered striker Larnell Cole sent-off after he confronted the referee. Liam Craig sealed the win from the penalty spot with two minutes to play, before Graham Cummins finished a sumptuous stoppage-time move. And things got worse still for Caley Thistle after the match, with captain Gary Warren shown a red card in the tunnel. Saints remain five points clear of Hearts in fourth place, and closed the gap on third-placed Rangers, who play Aberdeen on Sunday, to three points. With game after game ticking past, Inverness' position looks increasingly perilous. Next weekend's trip to Motherwell, second-bottom on goal difference, is now seismic. This contest turned nightmarish for the hosts after a bright opening, but the truth is, given their predicament, Caley Thistle did not threaten St Johnstone's goal enough. Billy Mckay sent a shot over from close range. Alex Fisher nodded a diving header wide. Carl Tremarco miscued a volley. Greg Tansey did draw a save from Alan Mannus when he rasped in an effort from outside the box, but Richie Foran's side never looked likely to find the net. Their best opportunity came immediately after the Saints went ahead, when Tansey fed Cole, who seemed to panic in a terrific position and shot straight at Mannus. Cole's dismissal ended the contest when he appeared to be cautioned twice for challenging referee Stephen Finnie's decision not to award a foul. St Johnstone were merciless and could have had more. With just one win from their last 21 league games, Inverness look deep in trouble. Tommy Wright's side deserve so much credit. Saints were tactically brilliant, so strong defensively and ruthlessly capitalised on their man advantage. They took one of their few first-half chances when Michael Coulson broke down the left and sent a dangerous ball across the six-yard box. Owain Fon Williams could only parry into the danger area, Cummins' shot was blocked but Maclean followed up to force it home. They should have had another when Craig's superb curling corner flew all the way to the back post where Cummins slid in and somehow knocked it over from two yards. Craig, in his 300th appearance for the club, coolly converted a spot-kick after Cummins was tripped to seal the points. Cummins then slammed home after Miller danced around the area to tee him up, before Craig cracked the bar amid the late flurry. With a tendency to finish the season strongly, and just a three-point gap to Rangers, the Perth side look capable of something special this term. Inverness CT manager Richie Foran: ""It is a tough time of the season to be sitting bottom, and I need real men to stand up to that, but not enough of them did that today. ""It is pure luck we are still in it and it is only four points. I sound like a broken record but one win changes it - that is the truth. But I need braver players with more passion and desire.",0,1,1
openai_ada (0 shot),"If you want to add a sentence to this, please do so in the comment box below.

If you are a writer, please submit your work here.

If you are a journalist, please submit your work here.

If you are a researcher, please submit your research here.","Two men took £200 from the shop at Rosskeen Park at 04:00 GMT on Thursday before making off in the stolen car. Police said the black Citroen C1 was stolen from the Shearwater area. Shop owner Pat O'Reilly told BBC Radio Foyle: ""This will cost us thousands but we'll pick ourselves up and get back to it though."" He added: ""Shelving, freezers and shutters have been badly damaged. ""We have put so much money in to this place. The shop was going well too. ""We are going to be closed for a while and staff still have to get paid. This is just a nightmare.""",0,2,1
openai_ada (0 shot),"Please do not forget to rate this article.

Thank you for reading.

Please share this article with your friends and family.

Thank you.","The group, reported to be three men, two women and four children aged from two to 11, was held at Reyhanli, in Hatay province, near the Syrian border. Their intention in travelling to the region, where areas are controlled by Islamic State (IS) militants or an al-Qaeda affiliate, is not clear. The Foreign Office has said it is in contact with the Turkish authorities. The BBC's Mark Lowen said the information about the ages of the children had not been independently verified and it was too early to know where the group were intending to head to. ""Were they heading for one of the more moderate groups in Syria. Were they heading for the area controlled by al-Nusra, the al-Qaeda affiliate? Or were they heading to so-called Islamic State territory?"" he said. The group was taken to a police station in southern Turkey overnight, and then sent to the foreigners department awaiting deportation to the UK. They have undergone medical examinations and had their finger-prints taken. The United Nations estimates the number of foreign fighters joining militant groups is more than 25,000, from 100 different nations. About 600 Britons are believed to have gone to Syria or Iraq since IS seized control of large swathes of territory there. Most are thought to have volunteered as fighters for the militant Islamist group. Around half are believed to have later returned to the UK, the Metropolitan Police has said. The latest detentions come two weeks after three British teenagers were stopped from travelling into Syria from Turkey. The three - two aged 17 and one 19, from north-west London - were arrested following a tip-off from British police and flown back to the UK. They have since been released on police bail. They had flown to Turkey from Barcelona and were arrested at Sabiha Gokcen airport in Istanbul. Fadi Hakura, Turkey analyst for Chatham House, told BBC Radio 4's Today programme the recent arrests showed the Turkish government was ""taking more effective measures to control the flow of fighters and supporters into Syria"". He said there was now ""more enhanced security and intelligence cooperation between Turkey and its Western counterparts, especially with the exchange of names that Turkey needs to prohibit [IS supporters] from crossing into Syria"". The Turkish government has said it cannot make a 560-mile border watertight and will act when it has prior warning. In February this year there were recriminations between British police and Turkish officials after three London schoolgirls disappeared from Turkey, apparently having crossed the border into Syria. Shamima Begum, Amira Abase, both 15, and Kadiza Sultana, 16 had flown to Istanbul and travelled to the border region. Turkish officials said they had not been warned promptly enough by British police to intercept them - Scotland Yard denied this.",0,2,1
openai_ada (0 shot),"Please do not use any of the following words:

1. play, play off, play offs, play offs, play offs, play offs, play offs, play offs, play offs, play offs, play offs, play offs, play offs","Jordan Maguire-Drew nearly put the Daggers in front early on when he struck the woodwork while at the other end, Ryan Bird did the same with a header as the sides sparred. In the second half, Matt Robinson threaded a through-pass to Whitely, who controlled and dispatched under Ryan Clarke with the confidence of a striker - a goal that ended an impressive 10-match unbeaten run for the hosts. Whitely could have put a greater gloss on matters for John Still's side, but he struck the bar from 20 yards. Report supplied by the Press Association. Match ends, Eastleigh 0, Dagenham and Redbridge 1. Second Half ends, Eastleigh 0, Dagenham and Redbridge 1. Substitution, Eastleigh. James Constable replaces Ryan Bird. Substitution, Eastleigh. Jamie Cureton replaces Adam Dawson. Frankie Raymond (Dagenham and Redbridge) is shown the yellow card. Substitution, Eastleigh. James Granger replaces Adam Dugdale. Goal! Eastleigh 0, Dagenham and Redbridge 1. Corey Whitely (Dagenham and Redbridge). Substitution, Dagenham and Redbridge. Fejiri Okenabirhie replaces Sam Ling. Second Half begins Eastleigh 0, Dagenham and Redbridge 0. First Half ends, Eastleigh 0, Dagenham and Redbridge 0. Matt Robinson (Dagenham and Redbridge) is shown the yellow card. First Half begins. Lineups are announced and players are warming up.",0,1,2
openai_ada (0 shot),"Please include a link to the article.

Please include a link to the article.

Please include a link to the article.

Please include a link to the article.

Please include a link to the article.

Please include a link to the article.

Please include","With a television audience of 110 million, it's one of the biggest platforms in the world - and Gaga has been putting in the hours to ensure her set is suitably spectacular. ""We were [rehearsing] in the tent for about a week and a half, then we had to move to bigger studios in Hollywood where we are working on the rest of the show,"" she told Houston radio station Mix 96.5. ""And then we will send that equipment to Houston where we will finish rehearsals. Fans can expect a performance that spans my career so far."" She has a high standard to live up to - notably Prince's show in 2007, which took place in the middle of a Miami thunderstorm and is widely accepted as the greatest performance in the event's history, if not Prince's career. Here are some of the other most memorable - and surprising - moments from the last 30 years. Super Bowl performers get a very strict 12-minute time limit, so most performers cram their set with as much music as possible. Not Michael Jackson. After shooting onto the stage at the Pasadena Rose Bowl, he stood completely still, staring at the world for a full 90 seconds. Ninety. It was a master class in ratcheting expectation to a fever pitch. And the screams when he launched into Jam (not one of his best songs) proved he knew what he was doing. Brilliantly, Jackson staged this entire performance while wearing a jacket it looked like he'd borrowed from Muammar Gaddafi. Beat that, Gaga. Baby, he was born to run... and slide on his knees... and crotch slam a TV camera. In his autobiography, The Boss explains the incident like this: ""Too much adrenalin, a late drop, too much speed, here I come, Mikeâ€¦ BOOM! ""And I'm onto his camera, the lens implanted into my chest with one leg off the stage. I use his camera to push myself back up andâ€¦ BLAM! BORN TO RUN!"" It led to the memorable headline: ""America Attacked by Bruce Springsteen's crotch"" - but it didn't stop the star delivering one of the most powerful and energetic Super Bowl shows in recent history. Even if they were fined for over-running by 40 seconds. Coldplay were the headline act at last year's Super Bowl in Santa Clara - but someone forgot to tell Beyonce. She only performed one song, Formation, underscoring its message of black pride and power with back-up dancers dressed in leather body suits and black berets reminiscent of the Black Panthers movement. Some of her dancers were even pictured holding up a sign declaring ""Justice 4 Mario Woods"" - a 26-year-old black man who was shot dead by armed police in San Francisco two months earlier. The performance heralded the arrival of her unapologetically political album, Lemonade, later in the year. You can't out-diva Diana, something she was determined to prove when she strode onto the pitch in Tempe, Arizona, for Super Bowl XXX. She raced through 10 songs and four costume changes in 12 minutes, then jumped into",0,1,1
openai_ada (0 shot),"Please include a link to the original article.

Please include a link to the original article.

Please include a link to the original article.

Please include a link to the original article.

Please include a link to the original article.

Please include a link to the original","City are fourth in the league following defeat at Chelsea on Wednesday, all but ending hopes of a league title in the Catalan's debut campaign in England. ""In future I will be better - definitely,"" said the former Barcelona and Bayern Munich coach. ""This season has been a massive lesson for me."" He added: ""We have a lot of beautiful things to fight for and to qualify for the Champions League will be a huge success. But we have to be honest with ourselves. We were not good enough to compete for the Premier League [title]."" Defeat at Stamford Bridge left City just four points ahead of Arsenal and Manchester United, both of whom have a game in hand. With the FA Cup being City's only realistic chance of winning a trophy this term, it is likely to be the worst season of Guardiola's managerial career. The 46-year-old has never gone a single season without winning a trophy - he has won the title in six out of seven attempts and his sides have always reached the last four of the Champions League. Guardiola has also responded to questions about a row between City and Chelsea coaching staff at Stamford Bridge following the defeat on Wednesday night. There have been conflicting claims about the precise nature of the row, but stewards were needed to calm the situation down after Chelsea's 2-1 win. The incident centred around a disagreement between Chelsea fitness coach Paolo Bertelli and Manchester City masseur Mark Sertori, both of whom speak Italian, as the Premier League leaders celebrated their victory. Guardiola said: ""We are so polite in our defeats and we are so polite when we win. When we win, normally we celebrate a little bit, then we go to the locker room. Chelsea manager Antonio Conte was not involved and has played the incident down. He said: ""Respect is the most important thing in football.""",0,1,1
